 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5.026,116.370,28,160,3.290,741,93,58.173,2.301
2,9.383,129.071,33,188,7.156,767,11,94.635,2.159
3,3.558,100.264,23,172,3.587,501,101,83.830,1.543
4,1.449,126.494,35,179,2.802,305,320,153.435,1.035
5,2.490,112.575,51,162,2.513,361,3,122.471,1.420
6,1.942,115.263,26,165,2.530,308,3,130.365,1.377
7,3.735,134.363,26,173,3.689,695,581,109.855,1.590
8,14.372,129.306,25,214,12.100,839,701,120.651,2.380
9,13.341,111.049,17,218,7.115,920,828,144.372,2.424
10,11.659,111.001,26,176,7.558,211,899,37.747,2.084
11,2.192,84.936,19,163,2.269,484,384,102.265,1.459
12,1.970,59.146,18,126,2.250,504,357,99.866,1.216
13,0.687,120.716,35,177,2.069,601,257,62.241,0.975
14,0.632,104.397,23,161,1.433,642,182,19.654,0.669
15,0.753,108.346,34,154,1.339,647,204,120.256,0.867
16,0.920,101.495,34,146,1.446,466,414,36.870,1.122
17,0.827,95.258,39,145,1.647,437,423,159.444,1.004
18,0.520,100.321,41,151,1.311,143,380,53.973,0.801
19,1.626,108.674,26,149,2.123,394,498,39.472,1.313
20,2.741,106.776,26,162,3.261,387,551,124.160,1.620
21,3.214,110.691,33,167,2.685,379,534,68.962,1.974
22,0.762,87.902,39,145,1.616,794,454,107.354,0.713
23,2.295,80.413,23,157,2.561,727,302,109.799,1.085
24,1.858,100.885,28,158,2.105,740,336,164.055,1.022
25,0.539,116.776,42,158,1.192,770,353,104.036,0.888
26,1.923,114.976,35,172,2.291,780,383,67.751,1.465
27,0.855,118.565,40,175,2.033,881,128,84.560,1.069
28,0.706,103.171,36,147,1.297,822,110,48.013,1.060
29,0.362,107.385,50,146,1.253,789,408,90.000,0.578
30,0.818,110.080,25,172,1.433,898,487,160.346,1.141
31,1.040,102.214,30,150,1.724,936,494,116.565,0.905
32,0.576,108.581,44,145,1.177,316,293,145.008,0.749
33,4.060,130.590,30,178,3.852,680,943,58.299,1.404
34,1.514,116.736,20,165,1.978,259,1046,46.975,1.527
35,2.044,104.514,32,154,2.622,186,947,72.897,0.942
36,2.239,113.369,28,167,2.572,273,1029,12.995,1.210
37,2.806,111.762,52,172,2.572,201,1070,12.995,1.431
38,2.127,110.821,34,153,3.981,411,1180,6.953,1.069
39,2.341,127.282,36,192,2.313,497,1147,90.000,1.546
40,1.394,111.680,40,162,2.802,113,995,86.055,0.991
41,10.554,120.695,32,172,5.354,116,1351,113.334,2.345
42,3.837,128.145,33,175,2.931,359,1390,27.408,1.776
43,3.196,119.977,21,171,2.536,397,1513,8.746,1.860
44,0.873,97.691,40,157,1.449,532,1350,93.814,1.027
45,14.353,121.852,19,191,8.639,233,1511,144.537,2.149
46,16.527,118.403,30,192,8.106,513,1555,2.726,2.745
47,8.816,114.098,21,181,5.402,182,1624,105.524,2.563
48,7.302,109.579,30,165,5.188,238,1694,125.166,1.693
49,4.199,99.821,23,158,3.817,276,1740,135.000,1.363
50,1.310,109.922,39,153,1.894,312,1757,104.744,1.069
51,5.370,100.697,41,161,4.472,329,1771,127.117,1.608
52,2.090,107.964,39,157,2.331,471,1696,7.125,1.793
53,4.051,124.167,26,178,3.329,486,1806,22.109,2.053
54,1.366,116.381,29,164,2.045,503,1742,81.870,0.995
55,17.326,123.714,24,185,11.109,695,1836,51.340,2.522
56,2.787,111.800,52,164,2.892,593,1648,143.130,1.252
57,1.895,111.608,29,165,1.949,663,1867,98.531,1.295
58,1.068,126.348,43,178,1.509,993,1811,116.565,0.946
59,3.326,97.648,28,168,2.652,965,1540,109.093,1.947
60,1.682,134.011,37,178,2.680,897,1605,52.306,0.829
61,0.409,102.182,46,133,1.819,849,1638,32.005,0.398
62,0.520,103.304,28,148,1.913,804,1702,40.914,0.534
63,0.557,84.883,29,162,1.928,793,1717,90.000,0.578
64,1.031,93.189,34,148,2.049,772,1736,48.814,0.760
65,0.409,101.091,26,159,1.257,490,1875,94.399,0.658
66,2.118,119.461,33,175,2.347,944,1375,70.821,1.480
67,1.700,107.781,35,163,2.042,419,1002,70.710,1.270
68,1.133,79.574,28,130,2.291,723,572,67.751,0.989
