 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2723.308,161.315,27,226,92.976,612,477,69.206,46.463
2,33171.984,154.486,2,227,299.432,162,78,5.271,193.232
3,628.673,162.185,40,222,35.087,690,396,41.186,24.221
4,33590.024,160.240,16,238,288.845,861,57,115.979,170.528
5,27647.490,147.974,5,229,303.815,18,828,78.934,170.763
6,9092.759,160.338,19,236,170.463,231,762,140.763,79.672
7,6982.790,158.187,18,226,152.613,1356,3,132.663,81.348
8,41625.175,158.648,6,229,378.710,6,852,148.665,230.236
9,59845.529,165.017,6,236,373.482,330,675,163.220,230.842
10,2443.270,156.492,20,230,107.047,1593,9,167.535,33.503
11,13927.246,150.328,0,226,219.313,1803,672,83.374,84.452
12,45737.374,164.750,13,239,370.650,984,3,132.594,229.044
13,14987.274,160.087,12,235,267.384,717,1215,166.192,81.418
14,4660.170,162.400,20,230,127.590,1626,900,45.000,67.887
15,6600.663,162.021,18,227,160.640,1875,1194,89.608,68.975
16,10430.404,157.640,0,255,176.403,1326,912,104.816,128.827
17,11542.754,165.299,20,232,172.233,1290,864,160.986,111.838
18,17702.512,110.718,0,255,189.050,1476,1062,140.194,136.735
