 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length
1,68348.030,104.510,43,212,0,448.333,90,1476,68.004,257.732,0.000
2,26283.591,122.129,48,211,0,227.336,78,492,45.000,189.738,149.488
3,15200.410,141.365,50,213,0,186.994,558,372,42.337,130.806,0.000
4,47055.994,120.051,50,226,0,350.561,972,939,65.681,217.137,0.000
5,10044.613,100.226,48,208,0,193.675,618,408,123.354,67.116,0.000
6,6595.068,142.912,67,219,0,210.536,1380,12,175.537,67.577,0.000
7,10078.510,121.027,65,206,0,160.728,1587,255,26.075,92.111,0.000
8,2640.800,112.649,55,219,0,91.785,738,780,141.340,44.888,0.000
9,35945.905,123.710,49,224,0,294.945,1092,897,35.676,170.918,0.000
10,3935.515,97.816,61,194,0,109.900,1761,375,33.986,60.528,0.000
11,5849.806,93.637,50,188,0,114.401,1788,378,135.725,77.156,0.000
12,6060.175,144.696,65,215,0,114.497,1614,1026,62.289,76.540,0.000
13,29757.831,117.539,59,204,0,331.780,63,1491,13.565,159.394,0.000
14,5921.094,122.720,56,233,0,119.300,867,1185,39.428,76.175,0.000
15,14333.073,113.307,58,211,0,206.950,1011,1059,1.985,94.354,0.000
16,22055.935,116.219,0,255,0,237.724,966,1497,28.000,113.534,0.000
17,33778.611,97.272,0,255,0,330.742,1623,1494,65.101,152.315,0.000
